comment,label
"I think the order is fine, nothing special either way.",neutral
"the website is disappointing, not what I needed at all.",negative
"I regret buying this, complete waste of money",negative
Overpriced for such a low quality item,negative
"So pleased with the website, it was great from start to finish.",positive
"My experience with the product was adequate, no major issues.",neutral
"What an fantastic experience with this item, thank you!",positive
the packaging worked perfectly and the experience was fabulous.,positive
"So disappointed with the order, it was awful from start to finish.",negative
"Honestly the product is typical, works as described.",neutral
"So pleased with the service, it was impressive from start to finish.",positive
the packaging performed in an standard way overall.,neutral
"I think this device is awful, very unhappy with it.",negative
the subscription worked perfectly and the experience was excellent.,positive
"the website was superb, exceeded all my expectations.",positive
"Used this app a few times, it felt average.",neutral
I have used it a couple of times so far,neutral
"So pleased with the staff, it was amazing from start to finish.",positive
"this item is terrible, not what I needed at all.",negative
"the software is acceptable, still deciding if I like it.",neutral
"the product was adequate, met basic expectations.",neutral
"I think the packaging is broken, very unhappy with it.",negative
"Honestly the store is typical, works as described.",neutral
"Used the staff a few times, it felt reasonable.",neutral
"Honestly the store is frustrating, would not recommend to anyone.",negative
"Used the store a few times, it felt standard.",neutral
"the staff was broken, completely failed my expectations.",negative
"Honestly the delivery is standard, works as described.",neutral
The box included a warranty card and receipt,neutral
"this app is ordinary, still deciding if I like it.",neutral
the service worked perfectly and the experience was flawless.,positive
"this device is ordinary, still deciding if I like it.",neutral
"this item is reasonable, still deciding if I like it.",neutral
the update did not work and the experience was awful.,negative
I am impressed with the attention to detail,positive
"I love this product, it works perfectly",positive
"Used the product a few times, it felt ordinary.",neutral
"Really happy with this purchase, works great",positive
"So pleased with the service, it was fabulous from start to finish.",positive
"Really enjoyed using this device, it felt top-notch.",positive
"My experience with this app was adequate, no major issues.",neutral
"the software was mediocre, completely failed my expectations.",negative
"What an amazing experience with the support team, thank you!",positive
"What an reliable experience with this app, thank you!",positive
"Really regret using the order, it felt horrible.",negative
the packaging worked perfectly and the experience was fantastic.,positive
"My experience with this item was acceptable, no major issues.",neutral
"What an amazing experience with this item, thank you!",positive
"I think the store is ordinary, nothing special either way.",neutral
"Really regret using the support team, it felt unreliable.",negative
"the order is terrible, not what I needed at all.",negative
Love the design and how smooth it feels,positive
"It stopped working within a week, very frustrating",negative
"the product is unacceptable, not what I needed at all.",negative
"Great quality for the price, very satisfied",positive
